set,json_files,png_files,component,access_level
set1,446,446,guangzhou_human_labeled_set,controlled_non_commercial_dua_required
set10,446,446,guangzhou_human_labeled_set,controlled_non_commercial_dua_required
set11,446,446,guangzhou_human_labeled_set,controlled_non_commercial_dua_required
set12,446,446,guangzhou_human_labeled_set,controlled_non_commercial_dua_required
set2,446,446,guangzhou_human_labeled_set,controlled_non_commercial_dua_required
set20,439,439,guangzhou_human_labeled_set,controlled_non_commercial_dua_required
set3,446,446,guangzhou_human_labeled_set,controlled_non_commercial_dua_required
set5,446,446,guangzhou_human_labeled_set,controlled_non_commercial_dua_required
set6,446,446,guangzhou_human_labeled_set,controlled_non_commercial_dua_required
set7,446,446,guangzhou_human_labeled_set,controlled_non_commercial_dua_required
set8,446,446,guangzhou_human_labeled_set,controlled_non_commercial_dua_required
set9,446,446,guangzhou_human_labeled_set,controlled_non_commercial_dua_required
